education,experience,license,advancement,qualities,Occupation
"Tax examiners and collectors, and revenue agents typically need a bachelor’sdegreein accounting or a related field, such asbusiness. For some jobs, work experience may substitute for a degree.
","Some employers accept work experience as a substitute for education. For example, employers may hire tax examiners and revenue agents who have experience asaccountantsorbookkeepers, or they may hire tax collectors who have experience working asbill and account collectors,customer service representatives, orcredit checkers.
",,"Tax examiners who review individual tax returns may advance to revenue agent positions, working on more complex business returns.
","Analytical skills.Tax examiners and revenue agents must be able to identify questionable claims for credits and deductions and determine if claims are lawful.
","Tax examiners and collectors, and revenue agents"
"Top executives typically need a bachelor's or master'sdegreein an area related to their field of work, such asbusinessorengineering. Top executives in the public sector may have a degree in business administration, public administration, law, or the liberal arts. Top executives of large corporations may have a master’s degree in business administration (MBA).
","Many top executives advance within their own organizations, moving up from lower levelmanagement occupationsor supervisory positions. However, some companies may prefer to hire qualified candidates from outside their organization. Top executives who are promoted from lower level positions may be able to substitute experience for education to move up in the organization.
","Some top executive positions may require the applicant to have a license or certification relevant to their area of management. For example, some employers may require their chief executive officer to be a certified public accountant (CPA).
",,"Communication skills.Top executives must be able to convey information clearly and persuasively. They must discuss issues and negotiate with others, direct staff, and explain policies and decisions to people within and outside the organization.
",Chief executives
"Top executives typically need a bachelor's or master'sdegreein an area related to their field of work, such asbusinessorengineering. Top executives in the public sector may have a degree in business administration, public administration, law, or the liberal arts. Top executives of large corporations may have a master’s degree in business administration (MBA).
","Many top executives advance within their own organizations, moving up from lower levelmanagement occupationsor supervisory positions. However, some companies may prefer to hire qualified candidates from outside their organization. Top executives who are promoted from lower level positions may be able to substitute experience for education to move up in the organization.
","Some top executive positions may require the applicant to have a license or certification relevant to their area of management. For example, some employers may require their chief executive officer to be a certified public accountant (CPA).
",,"Communication skills.Top executives must be able to convey information clearly and persuasively. They must discuss issues and negotiate with others, direct staff, and explain policies and decisions to people within and outside the organization.
",General and operations managers
"Advertising, promotions, and marketing managers typically need a bachelor’sdegreein abusinessfield, such as marketing, or in a related field, such ascommunications. Relevant courses might include consumer behavior, market research, and art history.
","These managers typically need work experience in a related advertising, marketing, promotions, or sales occupation. For example, they may have worked assales representatives,market research analysts, orpublic relations specialists.
",,,"Analytical skills.Advertising, promotions, and marketing managers must be able to evaluate industry trends and determine the best strategies for their clients.
",Advertising and promotions managers
"Advertising, promotions, and marketing managers typically need a bachelor’sdegreein abusinessfield, such as marketing, or in a related field, such ascommunications. Relevant courses might include consumer behavior, market research, and art history.
","These managers typically need work experience in a related advertising, marketing, promotions, or sales occupation. For example, they may have worked assales representatives,market research analysts, orpublic relations specialists.
",,,"Analytical skills.Advertising, promotions, and marketing managers must be able to evaluate industry trends and determine the best strategies for their clients.
",Marketing managers
"Sales managers typically need a bachelor’s degree, although some positions require a high school diploma. A commonfield of degreeisbusiness, which usually includes courses in management and marketing.
","Work experience is typically required to become a sales manager. Employers usually prefer that candidates have several years of sales experience.
",,,"Analytical skills.Sales managers must track and interpret data to evaluate trends, develop goals, and determine sales strategies.
",Sales managers
"For public relations and fundraising management positions, a bachelor’sdegreein a field such as public relations,communications, orbusinesstypically is required. However, some employers prefer to hire candidates who have a master’s degree, particularly in public relations, journalism, fundraising, or nonprofit management.
","Public relations and fundraising managers must have several years of experience in a related occupation, such aspublic relations specialistorfundraiser.
","Although not mandatory, public relations managers can become certified through thePublic Relations Society of America. Candidates qualify based on a combination of experience and education and must pass an exam to become certified.
",,"Interpersonal skills.Public relations and fundraising managers deal with the public regularly; therefore, they must be friendly enough to build a rapport with, and receive support from, their media contacts and donors.
",Public relations managers
"For public relations and fundraising management positions, a bachelor’sdegreein a field such as public relations,communications, orbusinesstypically is required. However, some employers prefer to hire candidates who have a master’s degree, particularly in public relations, journalism, fundraising, or nonprofit management.
","Public relations and fundraising managers must have several years of experience in a related occupation, such aspublic relations specialistorfundraiser.
","Although not mandatory, public relations managers can become certified through thePublic Relations Society of America. Candidates qualify based on a combination of experience and education and must pass an exam to become certified.
",,"Interpersonal skills.Public relations and fundraising managers deal with the public regularly; therefore, they must be friendly enough to build a rapport with, and receive support from, their media contacts and donors.
",Fundraising managers
"Administrative services and facilities managers typically need a bachelor’sdegree, often inbusinessor a related field. However, some people enter the occupation with a high school diploma.
","Administrative services and facilities managers must have related work experience that reflects managerial and leadership abilities. Facilities managers should have experience in business operations, project management, and building maintenance, such as from having worked as ageneral maintenance and repair workeror acost estimator. Records and information managers should have administrative or business operations experience involving recordkeeping. Records and information managers in the legal field often must have experience as aparalegal or legal assistant.
","Although it is not required, professional certification may give candidates an advantage when applying for jobs.
",,"Analytical skills.Administrative services and facilities managers must be able to review an organization’s procedures for ways to improve efficiency.
",Administrative services managers
"Administrative services and facilities managers typically need a bachelor’sdegree, often inbusinessor a related field. However, some people enter the occupation with a high school diploma.
","Administrative services and facilities managers must have related work experience that reflects managerial and leadership abilities. Facilities managers should have experience in business operations, project management, and building maintenance, such as from having worked as ageneral maintenance and repair workeror acost estimator. Records and information managers should have administrative or business operations experience involving recordkeeping. Records and information managers in the legal field often must have experience as aparalegal or legal assistant.
","Although it is not required, professional certification may give candidates an advantage when applying for jobs.
",,"Analytical skills.Administrative services and facilities managers must be able to review an organization’s procedures for ways to improve efficiency.
",Facilities managers
"Computer and information systems managers typically need a bachelor'sdegreeincomputer and information technologyor a related field, such asengineering technologies. These degrees include courses in computer programming, software development, and mathematics. Management information systems (MIS) programs usually include business classes as well as computer-related ones.
","Computer and information systems managers typically need work experience in a related information technology (IT) job. The length and type of experience required may vary by position.
","Certification is typically optional for computer and information systems managers, although some employers prefer to hire candidates who have it. Usually awarded after passing a test, certification shows that candidates have the specific knowledge or skills required to work in the occupation.
",,"Analyticalskills.IT managers must evaluate information to develop and implement strategic plans for their organization.
",Computer and information systems managers
"Financial managers typically need at least a bachelor'sdegreeinbusiness, economics, or a related field. These disciplines help students learn analytical skills and methods.
","Financial managers usually have experience in another business or financial occupation. For example, they may have worked as aloan officer,accountant,securities sales agent, orfinancial analyst.
","Although it is not required, professional certification indicates competence for financial managers who have it. TheAssociation of Government Accountants(AGA) offers theCertified Government Financial Manager(CGFM) designation to financial managers working with federal, state, or local government. To earn this certification, candidates must have a bachelor’s degree from an accredited college or university, pass examinations, and have professional-level experience in government financial management. To keep the certification, CGFMs must complete continuing professional education.
","Experienced financial managers may advance to becomechief financial officers(CFOs). These executives are responsible for the accuracy of an organization’s financial reporting.
","Analytical skills.To assist executives in making decisions, financial managers need to evaluate data and information that affects their organization.
",Financial managers
"Employers typically require or prefer that industrial production managers have a bachelor’s degree. However, some workers qualify for jobs if they have a high school diploma and extensive production experience.
","Industrial production managers usually need years of work experience in supervisory or other leadership positions. Some begin as production workers and move up through the ranks.
","Although they are not required to do so, industrial production managers may earn certifications to demonstrate competency in quality or management systems. TheAmerican Society of Quality(ASQ) offers credentials in quality control and various levels ofSix Sigmacertifications. Because these credentials often require specific work experience, they typically are not available prior to entering the occupation.
",,"Business skills.Industrial production managers handle budgets for production facilities, hire and manage staff, and coordinate work between different departments.
",Industrial production managers
"Purchasing managers, buyers, and purchasing agents typically need a bachelor'sdegreefor entry-level positions. However, a high school diploma or the equivalent may be sufficient for some positions.
","Purchasing managers typically need several years of work experience in a related occupation. For example, they might start out as buyers or purchasing agents and advance to a managerial role after gaining experience in procurement.
","Some workers may choose to earn optional certification in an area such as procurement or supply chain management. Certification helps to demonstrate that candidates have attained competency in the field.
","An experienced purchasing agent or buyer may become an assistant purchasing manager before advancing to purchasing manager or other, related management positions.
","Analytical skills.Purchasing managers, buyers, and purchasing agents must evaluate options and choose suppliers with the best combination of price, quality, delivery, or service.
",Purchasing managers
"Transportation, storage, and distribution managers typically need at least a high school diploma, but education requirements for individual positions may vary.
","To enter the occupation, transportation, storage, and distribution managers typically need several years of work experience in related occupations. The amount and type of experience required often varies by organization, industry, and position.
","Some employers require or prefer that transportation, storage, and distribution managers have specific types of certifications, licenses, or both.
",,"Communication skills.Transportation, storage, and distribution managers must be able to convey ideas clearly, both orally and in writing.
","Transportation, storage, and distribution managers"
"For most positions, compensation and benefits managers typically need a bachelor’sdegreeinbusiness, human resources, or a related field, such associal scienceorpsychology.
","Work experience is essential for compensation and benefits managers. Managers often specialize in either compensation or benefits, depending on the experience they gain in previous jobs. Managers often start out ascompensation, benefits, and job analysis specialists. Work experience in other human resource fields, in finance, or in management is also helpful.
","Although not required, certification gives compensation and benefits managers credibility because it shows that they have expertise. Employers may prefer to hire candidates with certification, and some positions require it.
",,"Analytical skills.Compensation and benefits managers analyze data on wages and salaries and the cost of benefits, and they assess and devise programs that best fit an organization and its employees.
",Compensation and benefits managers
"Human resources managers typically need a bachelor’s degree to enter the occupation. The degree may be in human resources or anotherfield, such asbusiness,communications, orpsychology. Courses in subjects such as conflict management may be helpful.
","To demonstrate abilities in organizing, directing, and leading others, human resources managers must have related work experience. Some managers start out ashuman resources specialistsorlabor relations specialists.
","Although certification is voluntary, it shows professional expertise and credibility, and it may enhance job opportunities. Employers may prefer to hire candidates with certification, and some positions may require it.The Society for Human Resource Management(SHRM),HR Certification Institute(HRCI),WorldatWork, andInternational Foundation of Employee Benefit Plansare among many professional associations that offer certification programs.
",,"Communication skills.Human resources managers need strong speaking, writing, and listening skills to give presentations and direct their staff.
",Human resources managers
"Many positions require training and development managers to have a bachelor’s degree, but some jobs require a master’s degree. Although training and development managers come from a variety of educational backgrounds, these workers commonly have a bachelor’sdegreeinbusiness,communications,social science, or a related field.
","Related work experience is essential for training and development managers. Many positions require work experience in management, teaching, or training and development or another human resources field. For example, some training and development managers start out astraining and development specialists. Some employers also prefer experience in the industry in which the company operates.
","Although it is not required for training and development managers, certification may show professional expertise. Some employers prefer to hire candidates who have certification, and some positions require it.
",,"Business skills.Training and development managers must understand business operations in order to match training with business goals. They also need to be able to plan and adhere to budgets.
",Training and development managers
"Farmers, ranchers, and other agricultural managers typically need at least a high school diploma to enter the occupation. As farm and land management has grown more complex, farmers, ranchers, and other agricultural managers may benefit from postsecondary education. Associate’s degree or bachelor’s degreefieldsof study commonly includeagriculture,natural resources, orbusiness.
","Prospective farmers, ranchers, and agricultural managers typically work asagricultural workersfor several years to gain the knowledge and experience needed to run their own farm. Some gain experience while growing up on a family farm. The amount of experience needed varies with the complexity of the work and the size of the farm. Those with postsecondary education in agriculture may not need additional work experience.
","To show competency in farm management, agricultural managers may choose to complete certification programs. TheAmerican Society of Farm Managers and Rural Appraisers(ASFMRA) offers the Accredited Farm Manager (AFM) credential. AFM requirements include ASFMRA coursework, a bachelor’s degree, experience in farmland management, and passing an exam. A complete list of requirements is available from ASFMRA.
",,"Analytical skills.Farmers, ranchers, and other agricultural managers monitor and assess the quality of their land or livestock.
","Farmers, ranchers, and other agricultural managers"
"Construction managers typically need a bachelor'sdegreeinconstruction,business,engineering, or a related field.
","Construction experience is important for these managers, especially for ones who do not have a bachelor’s degree. For construction managers to qualify for jobs solely through experience, they must have worked many years in carpentry, masonry, or other construction specialties.
","Some states require construction managers to be licensed. For more information, contact your state licensing board.
",,"Analytical skills.Construction managers must be able to plan strategies, investigate project cost variances, and solve problems over the course of a project.
",Construction managers
"Most states require preschool and childcare center directors to have at least a bachelor’s degree, but educational requirements vary by state. Employers may prefer candidates who have adegree, or at least some postsecondary coursework, in early childhoodeducation. These programs teach child development, provide strategies for instructing young children, and show how to observe and document children’s progress.
","Most positions for preschool and childcare center directors require several years of experience in early childhood education. The length of experience required varies by job.
","States may require childcare centers, including those in private homes, to be licensed. To qualify for licensure, staff must pass a background check and meet a minimum training requirement. Some states have more requirements, such as requiring staff to have certifications in cardiopulmonary resuscitation (CPR) and first aid.
",,"Business skills.Preschool and childcare center directors manage childcare centers and need to be able to operate the business effectively.
","Education and childcare administrators, preschool and daycare"
"Principals typically need a master’s degree in education leadership or education administration. These master’s degree programs teach prospective principals how to manage staff, create budgets, set goals, and work with parents and the community. To enter a master's degree program, candidates typically need a bachelor'sdegreeineducation, counseling, or a related field.
","Principals need several years of teaching experience. For more information on how to become a teacher, see the profiles onkindergarten and elementary school teachers,middle school teachers, andhigh school teachers.
","Most states require public school principals to be licensed as school administrators. Licensure requirements vary by state, but most require a master’s degree. Some states have alternative programs for candidates who do not have a master’s degree in education administration or leadership. Most states also require candidates to pass an exam and a background check.
","An assistant principal can advance to become a principal. Some principals advance to become superintendents or other types of education administrators, which may require additional education. Others becomeinstructional coordinators.
","Communication skills.Principals must communicate effectively with students, teachers, and parents. For example, when dealing with academic issues, they must listen to students and teachers in order to restate their understanding of the problem.
","Education administrators, kindergarten through secondary"
"Postsecondary education administrators typically need a master’s degree. However, a bachelor’s degree may be sufficient for positions at small colleges and universities. Degrees may be in a variety offields, such aseducation,business, orsocial science.
","Employers typically prefer to hire candidates who have several years of experience in a college administrative setting. Some postsecondary education administrators work in the registrar’s office or as a resident assistant while in college to gain the necessary experience. For other positions, such as those in admissions and student affairs, experience may not be necessary.
",,"Education administrators with advanced degrees may be promoted to higher level positions within their department or the college. Some become college presidents, an occupation discussed in the profile ontop executives.
","Computer skills.Postsecondary education administrators need to be comfortable working with computers so they can use software to manage student and school records.
","Education administrators, postsecondary"
"Architectural and engineering managers typically need at least a bachelor'sdegreeinengineeringorarchitecture.
","Architectural and engineering managers typically advance to their positions after years of experience as an architect or engineer. In those positions, they may have worked on complex projects, developed designs, solved problems, and led teams.
","Architectural and engineering managers typically do not need a license. However, these managers may advance from other occupations that do require licensure. For example, all states require architects to be licensed, and some engineers obtain a professional engineering (PE) license. Contact your state licensing board for more information.
",,"Analytical skills.Architectural and engineering managers evaluate information to solve problems.
",Architectural and engineering managers
"Food service managers typically need a high school diploma, but education requirements for individual positions may vary from no formal educational credential to a college degree.
","Most food service managers start working in related jobs, such ascooks,waiters and waitresses, orsupervisors of food preparation and serving workers. They often spend years working in the food service industry, gaining experience and learning the necessary skills before they are promoted to manager positions.
","Some states and localities require that food service managers have food safety certification. For more information, contact your state or local health department.
",,"Business skills.Food service managers must understand all aspects of the restaurant business, including how to budget for supplies, comply with regulations, and manage workers.
",Food service managers
"Gambling dealers, gambling supervisors, and gambling and sports book writers and runners typically need a high school diploma or equivalent. Educational requirements for gambling managers differ by establishment. Some require a high school diploma or equivalent, while others require gambling managers to have some college or a degree. Those who pursue a degree may choose to study casino management, hotel management, or hospitality, in addition to taking courses in business.
","Gambling supervisors and gambling managers usually have several years of experience working in a casino or other gambling establishment. Gambling managers often have experience as a dealer or in the customer outreach department. Slot supervisors and table games supervisors usually have experience working in the activities of their respective areas. Some also have worked in entry-level marketing or customer-service positions.
","Gambling services workers must be licensed by a state regulatory agency, such as a state casino control board or gambling commission. Licensing requirements for supervisory or managerial positions may differ from those for gambling dealers, gambling and sports book writers and runners, and all other gambling workers. However, all candidates for a license must provide photo identification and pay a fee. Typically, they also must pass an extensive background check and drug test. Failure to pass the background check may prevent candidates from getting a job or a gambling license.
","Often, gambling managers are promoted from positions as slot supervisors or table games supervisors. They also may be moved from a management job in another part of the establishment, such as hospitality, after learning about the establishment’s operations through an internship or on-the-job training.
","Communication skills.Gambling services workers must explain the rules of the game to customers and answer their questions. Misunderstandings can cost a customer money and damage the establishment’s reputation.
",Gambling managers
"Entertainment and recreation managers have a variety of academic backgrounds, ranging from a high school diploma to a bachelor’s or higher degree. Requirements vary by organization and the specific work that managers do. For example, a recreation manager might need a bachelor’sdegreein park management,recreation and fitness, or leisure studies. An entertainment manager might need a degree in theater, music, or a related visual orperforming artsfield.
","Experience in a related occupation is important for entertainment and recreation managers. Employers often prefer to hire managers who have experience in supervising others, planning programs or events, or providing customer service in a leisure or hospitality setting.
","Some states may require a license for certain types of entertainment and recreation managers. For more information, contact your state licensing board.
",,"Business skills.Entertainment and recreation managers create, present, and oversee budgets and strategies, such as for a facility’s quarterly activities schedule.
","Entertainment and recreation managers, except gambling"
"Lodging managers typically need at least a high school diploma to enter the occupation. High school students interested in becoming a lodging manger may benefit from taking classes in hospitality management, which may be offered at some high schools.
","To enter the occupation, lodging managers with a high school diploma or its equivalent typically need experience working in guest services, at the front desk, or in related positions. Candidates with a degree often have experience too, which they gain through internships or by working as a management trainee.
","Professional certification may be beneficial. For example, theAmerican Hotel & Lodging Educational Institute(AHLEI) offers theCertified Hospitality and Tourism Management Program(CHTMP) for high school students, which requires passing exams and completing industry work experience. College students and working professionals can obtain theCertification in Hotel Industry Analytics(CHIA) through AHLEI.
","Lodging facility employees who show leadership potential and have several years of experience may qualify for assistant manager positions.
","Business skills.Lodging managers need to operate a facility that is profitable. To do so, they must be able to address budget matters and coordinate and supervise workers.
",Lodging managers
"Medical and health services managers typically need a bachelor'sdegreeto enter the occupation, although requirements may vary. For example, some employers hire candidates with an associate’s degree; others prefer to hire those with a master’s degree. Work experience sometimes may substitute for education.
","Employers may require prospective medical and health services managers to have work experience in either an administrative or a clinical role in a hospital or other healthcare facility. For example, nursing home administrators may have years of experience working as aregistered nurse.
","Some medical and health services managers need a state-issued license. For example, all states require licensure for nursing home administrators; requirements vary by state. For more information, contact your local or state licensing board.
","Some health information managers advance by taking on additional responsibilities, such as for an entire hospital’s information systems. Other managers may advance totop executivepositions within an organization. Advancement to top level executive positions may require a master’s degree.
","Analytical skills.Medical and health services managers review and evaluate healthcare metrics for ways to improve efficiency and meet goals.
",Medical and health services managers
"Natural sciences managers typically need a bachelor’s degree in a sciencefield, such asbiologyorhealthcare, or related field, such aspsychology. Some employers require or prefer to hire candidates who have a master’s degree or Ph.D.
","Natural sciences managers typically need several years in the sciences to enter the occupation. While employed as scientists, they may gain experience by assuming more responsibility and autonomy in their work. They also may get experience by leading research teams and directing projects.
","Some natural sciences managers need a state-issued license. For example, several states require laboratory directors to be licensed. Contact your state licensing board for more information.
",,"Communication skills.Natural sciences managers must be able to convey information clearly to a variety of audiences, such as scientists, policymakers, and the public. Both written and oral communication are important.
",Natural sciences managers
"A high school diploma or equivalent is typically required for onsite property management positions. Employers may prefer to hire college graduates for positions in commercial management positions related to overseeing a property’s finances or contracts.Fields of degreefor bachelor’s or master’s study may include business administration, accounting, finance, real estate, or public administration.
","Property, real estate, and community association managers typically need several years of work experience in a related occupation. For example,real estate brokers and sales agentsalso show commercial properties to prospective tenants or buyers, andcustomer service representativesgain experience dealing with many types of people.
","Property, real estate, and community association managers may need a license issued by the state in which they work. In most states, property managers must have a property management license or real estate broker’s license. Real estate managers who buy or sell property must have a real estate license in the state in which they practice. In some states, community association managers also need a real estate license. Managers of public housing subsidized by the federal government must hold certifications.
","Property, real estate, and community association managers who participate in professional training programs may prepare themselves for positions of increased responsibility. People may start as onsite managers of properties, such as apartment buildings, office complexes, or community associations. As they gain experience, they may advance to assistant property manager positions in which they handle a broad range of duties.
","Communication skills.Property, real estate, and community association managers must understand contracts and must be able to clearly explain the materials and answer questions raised by residents, board members, or service providers.
","Property, real estate, and community association managers"
